seqname	source	feature	start	end	score	strand	frame	attributes	Name	orf_classification	gene	chr
chr1	geneDB	gene	1	5662	.	-	.	RecQ type DNA helicase	SPAC212.11	.	.	1
chr1	geneDB	CDS	1	5662	.	-	.	RecQ type DNA helicase	SPAC212.11	.	.	1
chr1	geneDB	gene	5726	6331	.	-	.	pseudogene malic acid transport protein	SPAC212.10	removed as part of UTR of SPAC212.11 and truncted with respect to paralogs	.	1
chr1	geneDB	CDS	5726	6331	.	-	.	pseudogene malic acid transport protein	SPAC212.10	removed as part of UTR of SPAC212.11 and truncted with respect to paralogs	.	1
chr1	geneDB	gene	7619	9274	.	+	.	pseudogene	SPAC212.09c	malic enzyme with 2 frameshifts	.	1
chr1	geneDB	CDS	7619	9274	.	+	.	pseudogene	SPAC212.09c	malic enzyme with 2 frameshifts	.	1
chr1	geneDB	gene	11027	11556	.	-	.	non-coding RNA (predicted)	SPNCRNA.70	mRNA from AF087836: not associated with an ORF	.	1
chr1	geneDB	CDS	11027	11556	.	-	.	non-coding RNA (predicted)	SPNCRNA.70	mRNA from AF087836: not associated with an ORF	.	1
chr1	geneDB	gene	11784	12994	.	+	.	No comment	SPAC212.08c	.	.	1
chr1	geneDB	CDS	11784	12994	.	+	.	No comment	SPAC212.08c	.	.	1
chr1	geneDB	gene	13665	14555	.	+	.	pseudogene	SPAC212.07c	.	.	1
chr1	geneDB	CDS	13665	14555	.	+	.	pseudogene	SPAC212.07c	.	.	1
chr1	geneDB	gene	15855	16226	.	+	.	S. pombe specific GPI anchored protein family	SPAC212.12	.	.	1
chr1	geneDB	CDS	15855	16226	.	+	.	S. pombe specific GPI anchored protein family	SPAC212.12	.	.	1
chr1	geneDB	gene	18042	18974	.	+	.	No comment	SPAC212.06c	.	.	1
chr1	geneDB	CDS	18042	18974	.	+	.	No comment	SPAC212.06c	.	.	1
chr1	geneDB	gene	20824	21015	.	+	.	pseudogene	SPAC212.05c	term=truncated by rearrangement and LTRfragment similar to hypothetical protein-duplicated in telomeric region	.	1
chr1	geneDB	CDS	20824	21015	.	+	.	pseudogene	SPAC212.05c	term=truncated by rearrangement and LTRfragment similar to hypothetical protein-duplicated in telomeric region	.	1
chr1	geneDB	gene	21381	23050	.	+	.	No comment	SPAC212.04c	.	.	1
chr1	geneDB	CDS	21381	23050	.	+	.	No comment	SPAC212.04c	.	.	1
chr1	geneDB	gene	23589	24054	.	-	.	hypothetical protein	SPAC212.03	.	.	1
chr1	geneDB	CDS	23589	24054	.	-	.	hypothetical protein	SPAC212.03	.	.	1
chr1	geneDB	gene	27353	27763	.	-	.	sequence orphan	SPAC212.02	.	.	1
chr1	geneDB	CDS	27353	27763	.	-	.	sequence orphan	SPAC212.02	.	.	1
chr1	geneDB	gene	28738	29657	.	+	.	S. pombe specific DUF999 family protein 2	SPAC212.01c	repeat expansion SQRSQRS	.	1
chr1	geneDB	CDS	28738	29657	.	+	.	S. pombe specific DUF999 family protein 2	SPAC212.01c	repeat expansion SQRSQRS	.	1
chr1	geneDB	gene	29764	31069	.	+	.	S. pombe specific 5Tm protein family	SPAC977.01	.	.	1
chr1	geneDB	CDS	29764	31069	.	+	.	S. pombe specific 5Tm protein family	SPAC977.01	.	.	1
chr1	geneDB	gene	31140	32345	.	-	.	No comment	SPAC977.18	.	.	1
chr1	geneDB	CDS	31140	32345	.	-	.	No comment	SPAC977.18	.	.	1
chr1	geneDB	gene	32034	33012	.	+	.	No comment	SPAC977.02	.	.	1
chr1	geneDB	CDS	32034	33012	.	+	.	No comment	SPAC977.02	.	.	1
chr1	geneDB	gene	33835	34272	.	+	.	methyltransferase (predicted)	SPAC977.03	.	.	1
chr1	geneDB	CDS	33835	34272	.	+	.	methyltransferase (predicted)	SPAC977.03	.	.	1
chr1	geneDB	gene	34298	34978	.	+	.	No comment	SPAC977.04	.	.	1
chr1	geneDB	CDS	34298	34978	.	+	.	No comment	SPAC977.04	.	.	1
chr1	geneDB	gene	35768	36382	.	-	.	conserved fungal family	SPAC977.05c	.	.	1
chr1	geneDB	CDS	35768	36382	.	-	.	conserved fungal family	SPAC977.05c	.	.	1
chr1	geneDB	gene	39416	40072	.	+	.	No comment	SPAC977.06	.	.	1
chr1	geneDB	CDS	39416	40072	.	+	.	No comment	SPAC977.06	.	.	1
chr1	geneDB	gene	40795	41489	.	+	.	non-coding RNA (predicted)	SPNCRNA.136	.	.	1
chr1	geneDB	CDS	40795	41489	.	+	.	non-coding RNA (predicted)	SPNCRNA.136	.	.	1
chr1	geneDB	gene	40916	41770	.	-	.	intergenic RNA (predicted)	SPNCRNA.601	.	.	1
chr1	geneDB	CDS	40916	41770	.	-	.	intergenic RNA (predicted)	SPNCRNA.601	.	.	1
chr1	geneDB	gene	42057	43307	.	-	.	cell surface glycoprotein (predicted)	SPAC977.07c	.	.	1
chr1	geneDB	CDS	42057	43307	.	-	.	cell surface glycoprotein (predicted)	SPAC977.07c	.	.	1
chr1	geneDB	gene	44644	45468	.	+	.	No comment	SPAC977.08	.	.	1
chr1	geneDB	CDS	44644	45468	.	+	.	No comment	SPAC977.08	.	.	1
chr1	geneDB	gene	45875	48399	.	-	.	No comment	SPAC977.09c	mRNA from SPD183	.	1
