seqname	source	feature	start	end	score	strand	frame	attributes	Name	orf_classification	gene	chr
chr1	window	gene	1	10000	.	+	.	No comment	chr1.1.10000	.	.	1
chr1	window	CDS	1	10000	.	+	.	No comment	chr1.1.10000	.	.	1
chr1	window	gene	10001	20000	.	+	.	No comment	chr1.10001.20000	.	.	1
chr1	window	CDS	10001	20000	.	+	.	No comment	chr1.10001.20000	.	.	1
chr1	window	gene	20001	30000	.	+	.	No comment	chr1.20001.30000	.	.	1
chr1	window	CDS	20001	30000	.	+	.	No comment	chr1.20001.30000	.	.	1
chr1	window	gene	30001	40000	.	+	.	No comment	chr1.30001.40000	.	.	1
chr1	window	CDS	30001	40000	.	+	.	No comment	chr1.30001.40000	.	.	1
chr1	window	gene	40001	50000	.	+	.	No comment	chr1.40001.50000	.	.	1
chr1	window	CDS	40001	50000	.	+	.	No comment	chr1.40001.50000	.	.	1
chr1	window	gene	50001	60000	.	+	.	No comment	chr1.50001.60000	.	.	1
chr1	window	CDS	50001	60000	.	+	.	No comment	chr1.50001.60000	.	.	1
chr1	window	gene	60001	70000	.	+	.	No comment	chr1.60001.70000	.	.	1
chr1	window	CDS	60001	70000	.	+	.	No comment	chr1.60001.70000	.	.	1
chr1	window	gene	70001	80000	.	+	.	No comment	chr1.70001.80000	.	.	1
chr1	window	CDS	70001	80000	.	+	.	No comment	chr1.70001.80000	.	.	1
chr1	window	gene	80001	90000	.	+	.	No comment	chr1.80001.90000	.	.	1
chr1	window	CDS	80001	90000	.	+	.	No comment	chr1.80001.90000	.	.	1
chr1	window	gene	90001	100000	.	+	.	No comment	chr1.90001.100000	.	.	1
chr1	window	CDS	90001	100000	.	+	.	No comment	chr1.90001.100000	.	.	1
chr1	window	gene	100001	110000	.	+	.	No comment	chr1.100001.110000	.	.	1
chr1	window	CDS	100001	110000	.	+	.	No comment	chr1.100001.110000	.	.	1
chr1	window	gene	110001	120000	.	+	.	No comment	chr1.110001.120000	.	.	1
chr1	window	CDS	110001	120000	.	+	.	No comment	chr1.110001.120000	.	.	1
chr1	window	gene	120001	130000	.	+	.	No comment	chr1.120001.130000	.	.	1
chr1	window	CDS	120001	130000	.	+	.	No comment	chr1.120001.130000	.	.	1
chr1	window	gene	130001	140000	.	+	.	No comment	chr1.130001.140000	.	.	1
chr1	window	CDS	130001	140000	.	+	.	No comment	chr1.130001.140000	.	.	1
chr1	window	gene	140001	150000	.	+	.	No comment	chr1.140001.150000	.	.	1
chr1	window	CDS	140001	150000	.	+	.	No comment	chr1.140001.150000	.	.	1
chr1	window	gene	150001	160000	.	+	.	No comment	chr1.150001.160000	.	.	1
