seqname	source	feature	start	end	score	strand	frame	attributes	Name	orf_classification	gene	chr
chr1	geneDB	gene	1	5662	.	-	.	RecQ type DNA helicase	SPAC212.11	.	.	1
chr1	geneDB	CDS	1	5662	.	-	.	RecQ type DNA helicase	SPAC212.11	.	.	1
chr1	geneDB	gene	5663	6331	.	-	.	pseudogene malic acid transport protein	SPAC212.10	removed as part of UTR of SPAC212.11 and truncted with respect to paralogs	.	1
chr1	geneDB	CDS	5663	6331	.	-	.	pseudogene malic acid transport protein	SPAC212.10	removed as part of UTR of SPAC212.11 and truncted with respect to paralogs	.	1
chr1	geneDB	gene	6332	11556	.	-	.	non-coding RNA (predicted)	SPNCRNA.70	mRNA from AF087836: not associated with an ORF	.	1
chr1	geneDB	CDS	6332	11556	.	-	.	non-coding RNA (predicted)	SPNCRNA.70	mRNA from AF087836: not associated with an ORF	.	1
chr1	geneDB	gene	7619	12157	.	+	.	pseudogene	SPAC212.09c	malic enzyme with 2 frameshifts	.	1
chr1	geneDB	CDS	7619	12157	.	+	.	pseudogene	SPAC212.09c	malic enzyme with 2 frameshifts	.	1
chr1	geneDB	gene	11557	23978	.	-	.	hypothetical protein	SPAC212.03	.	.	1
chr1	geneDB	CDS	11557	23978	.	-	.	hypothetical protein	SPAC212.03	.	.	1
chr1	geneDB	gene	12158	13664	.	+	.	GPI anchored protein (predicted)	SPAC212.08c	.	.	1
chr1	geneDB	CDS	12158	13664	.	+	.	GPI anchored protein (predicted)	SPAC212.08c	.	.	1
chr1	geneDB	gene	13665	15854	.	+	.	pseudogene	SPAC212.07c	.	.	1
chr1	geneDB	CDS	13665	15854	.	+	.	pseudogene	SPAC212.07c	.	.	1
chr1	geneDB	gene	15855	18071	.	+	.	S. pombe specific GPI anchored protein family	SPAC212.12	.	.	1
chr1	geneDB	CDS	15855	18071	.	+	.	S. pombe specific GPI anchored protein family	SPAC212.12	.	.	1
chr1	geneDB	gene	18072	20823	.	+	.	DNA helicase in rearranged telomeric region, truncated	SPAC212.06c	.	.	1
chr1	geneDB	CDS	18072	20823	.	+	.	DNA helicase in rearranged telomeric region, truncated	SPAC212.06c	.	.	1
chr1	geneDB	gene	20824	21034	.	+	.	pseudogene	SPAC212.05c	term=truncated by rearrangement and LTRfragment similar to hypothetical protein-duplicated in telomeric region	.	1
chr1	geneDB	CDS	20824	21034	.	+	.	pseudogene	SPAC212.05c	term=truncated by rearrangement and LTRfragment similar to hypothetical protein-duplicated in telomeric region	.	1
chr1	geneDB	gene	21035	21586	.	+	.	No comment	LTR	540 (-1) 51 354 Tf1-type LTR	.	1
chr1	geneDB	CDS	21035	21586	.	+	.	No comment	LTR	540 (-1) 51 354 Tf1-type LTR	.	1
chr1	geneDB	gene	21587	28123	.	+	.	S. pombe specific DUF999 family protein 1	SPAC212.04c	repeat expansion SQRSQRS	.	1
chr1	geneDB	CDS	21587	28123	.	+	.	S. pombe specific DUF999 family protein 1	SPAC212.04c	repeat expansion SQRSQRS	.	1
chr1	geneDB	gene	23979	24445	.	-	.	No comment	LTR	266 (+1) 106 264 Tf1-type LTR	.	1
chr1	geneDB	CDS	23979	24445	.	-	.	No comment	LTR	266 (+1) 106 264 Tf1-type LTR	.	1
chr1	geneDB	gene	24446	24876	.	-	.	No comment	LTR	Tf2-type LTR	.	1
chr1	geneDB	CDS	24446	24876	.	-	.	No comment	LTR	Tf2-type LTR	.	1
chr1	geneDB	gene	24877	26339	.	-	.	No comment	LTR	253 (+1) 2 340 Tf1-type LTR	.	1
chr1	geneDB	CDS	24877	26339	.	-	.	No comment	LTR	253 (+1) 2 340 Tf1-type LTR	.	1
chr1	geneDB	gene	26340	27763	.	-	.	sequence orphan	SPAC212.02	.	.	1
chr1	geneDB	CDS	26340	27763	.	-	.	sequence orphan	SPAC212.02	.	.	1
chr1	geneDB	gene	27764	32187	.	-	.	conserved fungal protein	SPAC977.18	.	.	1
chr1	geneDB	CDS	27764	32187	.	-	.	conserved fungal protein	SPAC977.18	.	.	1
chr1	geneDB	gene	28124	28737	.	+	.	No comment	LTR	524 (-1) 1 354 Tf1-type LTR	.	1
chr1	geneDB	CDS	28124	28737	.	+	.	No comment	LTR	524 (-1) 1 354 Tf1-type LTR	.	1
chr1	geneDB	gene	28738	29763	.	+	.	S. pombe specific DUF999 family protein 2	SPAC212.01c	repeat expansion SQRSQRS	.	1
chr1	geneDB	CDS	28738	29763	.	+	.	S. pombe specific DUF999 family protein 2	SPAC212.01c	repeat expansion SQRSQRS	.	1
chr1	geneDB	gene	29764	32229	.	+	.	S. pombe specific 5Tm protein family	SPAC977.01	.	.	1
chr1	geneDB	CDS	29764	32229	.	+	.	S. pombe specific 5Tm protein family	SPAC977.01	.	.	1
chr1	geneDB	gene	32188	33057	.	-	.	No comment	LTR	Tf2-type LTR	.	1
chr1	geneDB	CDS	32188	33057	.	-	.	No comment	LTR	Tf2-type LTR	.	1
chr1	geneDB	gene	32230	33834	.	+	.	S. pombe specific 5Tm protein family	SPAC977.02	.	.	1
chr1	geneDB	CDS	32230	33834	.	+	.	S. pombe specific 5Tm protein family	SPAC977.02	.	.	1
chr1	geneDB	gene	33058	36382	.	-	.	conserved fungal family	SPAC977.05c	.	.	1
